[1, 4, 4, 2, 0, 0, 0]
[1, 6, 2, 4, 2, 0, 6]
[1, 5, 2, 4, 2, 0, 2]
[1, 7, 2, 5, 2, 2, 6]
[1, 4, 0, 4, 2, 0, 0]
[1, 6, 4, 4, 2, 1, 4]
[1, 8, 4, 4, 0, 4, 8]
[1, 8, 0, 8, 4, 8, 0]
[1, 11, 4, 8, 9, 10, 10]
[24, 5, 3, 5/2, 3/2, 0, 3]
[2, 14, 10, 10, 15, 12, 20]
[2, 3, 2, 0, 1, 0, 0]
[1, 16, 16, 8, 20, 12, 20]
[1, 14, 10, 8, 15, 12, 20]
[1, 8, 8, 4, 4, 0, 4]
[1, 8, 0, 10, 6, 6, 0]
[6, 21/2, 21/2, 6, 12, 3, 12]
[12, 23/2, 13, 8, 17/2, 7/2, 11]
[4, 23/2, 29/2, 9, 23/2, 4, 13]
[1, 8, 8, 4, 0, 4, 0]
[1, 9, 2, 10, 6, 6, 2]
[1, 7, 2, 7, 4, 2, 2]
[12, 11, 25/2, 8, 8, 7/2, 21/2]
[1, 8, 4, 7, 4, 2, 4]
[1, 10, 4, 10, 6, 7, 4]
[1, 8, 2, 6, 2, 2, 8]
[2, 6, 0, 0, 6, 9, 0]
[1, 6, 0, 7, 4, 2, 0]
[2, 6, 4, 0, 2, 0, 0]
[1, 8, 6, 6, 4, 0, 6]
