[1, 6, 2, 4, 2, 0, 6]
[1, 5, 2, 4, 2, 0, 2]
[2, 3, 2, 0, 1, 0, 0]
[1, 4, 4, 2, 0, 0, 0]
[1, 4, 0, 4, 2, 0, 0]
[1, 8, 4, 4, 0, 4, 8]
[1, 7, 2, 5, 2, 2, 6]
[1, 8, 8, 4, 2, 0, 2]
[1, 6, 4, 4, 2, 1, 4]
[1, 8, 8, 4, 0, 1, 0]
[1, 10, 6, 6, 2, 2, 6]
[1, 9, 6, 6, 2, 1, 2]
[1, 11, 6, 7, 2, 5, 6]
[1, 11, 4, 8, 4, 5, 8]
[1, 10, 8, 6, 2, 3, 4]
[1, 8, 4, 6, 2, 0, 0]
[28, 5, 3, 5/2, 3/2, 0, 3]
[1, 10, 2, 8, 4, 4, 6]
[2, 6, 4, 3, 1, 1, 3]
[1, 12, 4, 8, 4, 8, 12]
[1, 12, 4, 8, 2, 12, 8]
[14, 27/2, 15, 10, 10, 5, 13]
[1, 13, 6, 8, 9, 6, 16]
[1, 8, 2, 6, 2, 2, 7]
[1, 10, 6, 6, 6, 0, 10]
[1, 6, 4, 2, 0, 2, 3]
[28, 14, 16, 10, 11, 9/2, 29/2]
[2, 7, 6, 2, 1, 1, 0]
[2, 9, 4, 4, 3, 2, 6]
[1, 7, 2, 7, 4, 2, 2]
[28, 27/2, 31/2, 10, 21/2, 9/2, 14]
[1, 6, 0, 7, 4, 2, 0]
[1, 8, 4, 7, 4, 2, 4]
[2, 8, 4, 4, 3, 3/2, 2]
[2, 11, 6, 4, 1, 8, 8]
[2, 7, 6, 7/2, 0, 3, 2]
[2, 9, 6, 4, 3, 3, 4]
[2, 7, 2, 4, 3, 1, 0]
[2, 10, 4, 5, 3, 5, 6]
[2, 8, 4, 4, 3, 1, 2]
[2, 6, 4, 0, 2, 1, 0]
[2, 7, 6, 2, 1, 0, 0]
